,date,doller,fed,gdp,cpi,sp_close,sp_volume,mi_close,mi_volume,gsci_close,unem,infl,pmi
8174,1988-12-27,92.800003,8.84,5399.509,120.7,276.83,87490000.0,92.81,6790.0,1364.45,5.3,4.4,56.0
8175,1988-12-23,92.660004,8.74,5399.509,120.7,277.87,81760000.0,93.38,5270.0,1355.1899,5.3,4.4,56.0
8176,1988-12-22,92.610001,8.85,5399.509,120.7,276.87,150510000.0,93.28,13820.0,1343.5601,5.3,4.4,56.0
8177,1988-12-21,92.480003,8.79,5399.509,120.7,277.38,147250000.0,93.31,19250.0,1336.1899,5.3,4.4,56.0
8178,1988-12-19,92.139999,8.96,5399.509,120.7,278.91,162250000.0,92.84,2610.0,1318.95,5.3,4.4,56.0
8179,1988-12-16,92.089996,8.9,5399.509,120.7,276.29,196480000.0,92.62,2510.0,1322.0,5.3,4.4,56.0
8180,1988-12-15,91.940002,8.81,5399.509,120.7,274.28,136820000.0,92.53,2400.0,1300.78,5.3,4.4,56.0
8181,1988-12-14,91.080002,8.51,5399.509,120.7,275.31,132350000.0,92.47,4650.0,1307.4,5.3,4.4,56.0
8182,1988-12-13,91.620003,8.39,5399.509,120.7,276.31,132340000.0,92.69,4220.0,1289.16,5.3,4.4,56.0
8183,1988-12-12,91.110001,8.58,5399.509,120.7,276.52,124160000.0,93.12,11820.0,1301.87,5.3,4.4,56.0
8184,1988-12-09,90.839996,8.52,5399.509,120.7,277.03,133770000.0,93.22,5300.0,1293.45,5.3,4.4,56.0
8185,1988-12-08,90.809998,8.5,5399.509,120.7,276.59,124150000.0,93.53,6220.0,1272.09,5.3,4.4,56.0
8186,1988-12-07,91.900002,8.49,5399.509,120.7,278.13,148360000.0,93.75,13070.0,1279.7,5.3,4.4,56.0
8187,1988-12-06,90.75,8.59,5399.509,120.7,277.59,158340000.0,94.06,14600.0,1272.89,5.3,4.4,56.0
8188,1988-12-05,90.169998,8.65,5399.509,120.7,274.93,144660000.0,92.94,8870.0,1269.01,5.3,4.4,56.0
8189,1988-12-02,90.059998,8.63,5399.509,120.7,271.81,124610000.0,92.62,24210.0,1280.5,5.3,4.4,56.0
8190,1988-12-01,90.5,8.54,5399.509,120.7,272.49,129380000.0,93.56,11000.0,1285.33,5.3,4.4,56.0
8191,1988-11-30,90.529999,8.5,5399.509,120.3,273.7,157810000.0,93.34,27960.0,1274.76,5.3,4.2,55.6
8192,1988-11-29,90.739998,8.39,5399.509,120.3,270.91,127420000.0,92.88,18380.0,1259.3,5.3,4.2,55.6
8193,1988-11-28,90.830002,8.55,5399.509,120.3,268.64,123480000.0,92.69,17710.0,1259.7,5.3,4.2,55.6
8194,1988-11-25,90.120003,8.43,5399.509,120.3,267.23,72090000.0,92.59,7380.0,1232.63,5.3,4.2,55.6
8195,1988-11-23,90.32,8.34,5399.509,120.3,269.0,112010000.0,93.19,9590.0,1226.89,5.3,4.2,55.6
8196,1988-11-22,90.400002,8.4,5399.509,120.3,267.21,127000000.0,93.16,26320.0,1216.0,5.3,4.2,55.6
8197,1988-11-21,90.839996,8.37,5399.509,120.3,266.22,120430000.0,93.38,9860.0,1183.0,5.3,4.2,55.6
8198,1988-11-18,91.43,8.29,5399.509,120.3,266.47,119320000.0,93.34,15740.0,1183.2,5.3,4.2,55.6
8199,1988-11-17,90.970001,8.33,5399.509,120.3,264.6,141280000.0,93.28,24580.0,1186.83,5.3,4.2,55.6
8200,1988-11-16,90.830002,7.37,5399.509,120.3,263.82,161710000.0,93.59,25490.0,1218.28,5.3,4.2,55.6
8201,1988-11-15,91.800003,8.44,5399.509,120.3,268.34,115170000.0,94.03,21160.0,1221.59,5.3,4.2,55.6
8202,1988-11-14,91.989998,8.95,5399.509,120.3,267.72,142900000.0,94.06,29170.0,1232.15,5.3,4.2,55.6
8203,1988-11-11,91.529999,8.27,5399.509,120.3,267.92,135500000.0,93.78,6640.0,1219.91,5.3,4.2,55.6
8204,1988-11-10,92.209999,8.27,5399.509,120.3,273.69,128920000.0,94.19,24490.0,1225.27,5.3,4.2,55.6
8205,1988-11-09,92.440002,8.29,5399.509,120.3,273.33,153140000.0,94.12,34230.0,1230.36,5.3,4.2,55.6
8206,1988-11-08,93.650002,8.33,5399.509,120.3,275.15,141660000.0,94.31,25650.0,1225.88,5.3,4.2,55.6
8207,1988-11-07,93.239998,8.35,5399.509,120.3,273.93,133870000.0,94.22,24840.0,1231.3101,5.3,4.2,55.6
8208,1988-11-04,93.800003,8.27,5399.509,120.3,276.31,143580000.0,94.56,31170.0,1225.92,5.3,4.2,55.6
8209,1988-11-03,93.18,8.37,5399.509,120.3,279.2,152980000.0,95.59,17240.0,1218.03,5.3,4.2,55.6
8210,1988-11-02,92.889999,8.63,5399.509,120.3,279.06,161300000.0,95.31,16620.0,1214.72,5.3,4.2,55.6
8211,1988-11-01,93.589996,8.35,5399.509,120.3,279.06,151250000.0,95.69,20360.0,1201.9301,5.3,4.2,55.6
8212,1988-10-31,93.760002,8.39,5399.509,119.9,278.97,143460000.0,95.81,21710.0,1205.49,5.4,4.2,55.4
8213,1988-10-28,93.040001,8.3,5399.509,119.9,278.53,146300000.0,95.56,16110.0,1207.54,5.4,4.2,55.4
8214,1988-10-27,93.220001,8.27,5399.509,119.9,277.28,196540000.0,95.44,31080.0,1198.73,5.4,4.2,55.4
8215,1988-10-26,93.139999,8.24,5399.509,119.9,281.38,181550000.0,94.97,16180.0,1194.6801,5.4,4.2,55.4
8216,1988-10-25,93.989998,8.26,5399.509,119.9,282.38,155190000.0,94.69,12840.0,1191.61,5.4,4.2,55.4
8217,1988-10-24,93.800003,8.31,5399.509,119.9,282.28,170590000.0,94.62,19120.0,1191.5,5.4,4.2,55.4
8218,1988-10-21,93.389999,8.29,5399.509,119.9,283.66,195410000.0,94.62,16270.0,1222.28,5.4,4.2,55.4
8219,1988-10-20,94.220001,8.38,5399.509,119.9,282.88,189580000.0,94.75,15780.0,1221.74,5.4,4.2,55.4
8220,1988-10-19,94.669998,8.64,5399.509,119.9,276.97,186350000.0,94.66,21530.0,1231.5699,5.4,4.2,55.4
8221,1988-10-18,94.459999,8.33,5399.509,119.9,279.38,162500000.0,94.94,13660.0,1203.86,5.4,4.2,55.4
8222,1988-10-17,94.480003,8.37,5399.509,119.9,276.41,119290000.0,94.88,11350.0,1226.0601,5.4,4.2,55.4
8223,1988-10-14,94.370003,8.14,5399.509,119.9,275.5,160240000.0,94.81,23730.0,1214.2,5.4,4.2,55.4
8224,1988-10-13,94.800003,8.15,5399.509,119.9,275.22,154530000.0,94.56,20810.0,1195.87,5.4,4.2,55.4
8225,1988-10-12,95.610001,8.22,5399.509,119.9,273.98,154840000.0,94.5,19210.0,1184.47,5.4,4.2,55.4
8226,1988-10-11,96.690002,8.29,5399.509,119.9,277.93,140900000.0,95.09,18100.0,1158.91,5.4,4.2,55.4
8227,1988-10-10,96.870003,8.27,5399.509,119.9,278.24,124660000.0,95.25,2890.0,1159.5699,5.4,4.2,55.4
8228,1988-10-07,97.330002,8.27,5399.509,119.9,278.07,216390000.0,95.44,26190.0,1141.58,5.4,4.2,55.4
